date,game_pk,umpire_id,umpire_name
2026-04-29,825015,596805,John Libka
2026-04-30,823391,427366,Brian O'Nora
2026-04-30,823471,482663,David Rackley
2026-04-30,823472,605671,Charlie Ramos
2026-04-30,823634,665281,Brian Walsh
2026-04-30,823714,484499,Manny Gonzalez
2026-04-30,823795,482631,Mike Estabrook
2026-04-30,824524,427129,Bruce Dreckman
2026-04-30,824848,427128,Rob Drake
2026-04-30,824850,521889,Stu Scheurwater
2026-04-30,824929,577468,Roberto Ortiz
2026-04-30,825016,482666,D.J. Reyburn
2026-05-01,822744,608093,Junior Valentine
2026-05-01,822990,545402,John Bacon
2026-05-01,823066,427197,Chris Guccione
2026-05-01,823146,503077,Adam Hamari
2026-05-01,823309,428442,James Hoye
2026-05-01,823389,427554,Jim Wolf
2026-05-01,823557,623946,Malachi Moore
2026-05-01,823713,658082,Jacob Metz
2026-05-01,823877,427533,Mark Wegner
2026-05-01,824041,521251,Ben May
2026-05-01,824287,503502,Ryan Blakney
2026-05-01,824366,431232,Chad Fairchild
2026-05-01,824686,483912,Mike Muchlinski
2026-05-01,824772,503490,Chris Segal
2026-05-01,825012,575629,Shane Livensparger
2026-05-02,822746,490319,Jordan Baker
2026-05-02,822988,427537,Hunter Wendelstedt
2026-05-02,823067,598411,Nestor Ceja
2026-05-02,823144,503586,Tripp Gibson
2026-05-02,823308,503493,Sean Barber
2026-05-02,823388,691042,Willie Traynor
2026-05-02,823554,483561,Lance Barrett
2026-05-02,823715,665297,Tom Hanahan
2026-05-02,823876,547380,Carlos Torres
2026-05-02,824042,483630,John Tumpane
2026-05-02,824284,427243,Marvin Hudson
2026-05-02,824365,489985,Chad Whitson
2026-05-02,824685,573597,Gabe Morales
2026-05-02,824771,623938,Erich Bacchus
2026-05-02,825014,605670,Dan Merzel
2026-05-03,822742,427128,Rob Drake
2026-05-03,822987,544728,Nic Lentz
2026-05-03,823065,605671,Charlie Ramos
2026-05-03,823145,623949,Clint Vondrak
2026-05-03,823307,596805,John Libka
2026-05-03,823387,484198,Alan Porter
2026-05-03,823555,427315,Alfonso Márquez
2026-05-03,823711,482608,Scott Barry
2026-05-03,823875,608158,Nate Tomlinson
2026-05-03,824043,482620,Chris Conroy
2026-05-03,824285,639723,Brennan Miller
2026-05-03,824364,427344,Bill Miller
2026-05-03,824687,427139,Doug Eddings
2026-05-03,824769,427113,Laz Diaz
2026-05-03,825013,483564,Dan Bellino
2026-05-04,822984,482663,David Rackley
2026-05-04,823064,621660,Emil Jimenez
2026-05-04,823143,427013,Lance Barksdale
2026-05-04,823228,429805,Todd Tichenor
2026-05-04,823552,482631,Mike Estabrook
2026-05-04,823874,427129,Bruce Dreckman
2026-05-04,824039,484183,Cory Blaser
2026-05-04,824120,483569,Vic Carapazza
2026-05-04,824201,483919,Mark Ripperger
2026-05-04,824283,427248,Dan Iassogna
2026-05-04,824363,482666,D.J. Reyburn
2026-05-04,824684,484499,Manny Gonzalez
2026-05-05,822743,427533,Mark Wegner
2026-05-05,822986,427197,Chris Guccione
2026-05-05,823142,504381,Will Little
2026-05-05,823227,503077,Adam Hamari
2026-05-05,823469,623946,Malachi Moore
2026-05-05,823553,607884,Paul Clemons
2026-05-05,823873,577468,Roberto Ortiz
2026-05-05,824040,596740,Jansen Visconti
2026-05-05,824119,545402,John Bacon
2026-05-05,824200,575629,Shane Livensparger
2026-05-05,824281,644760,Adam Beck
2026-05-05,824682,658082,Jacob Metz
2026-05-05,825092,521251,Ben May
2026-05-06,822740,547380,Carlos Torres
2026-05-06,822985,598411,Nestor Ceja
2026-05-06,823063,483912,Mike Muchlinski
2026-05-06,823141,596809,Ryan Additon
2026-05-06,823226,503586,Tripp Gibson
2026-05-06,823470,483561,Lance Barrett
2026-05-06,823550,511890,Quinn Wolcott
2026-05-06,823872,623945,Alex MacKay
2026-05-06,824036,427164,Andy Fletcher
2026-05-06,824118,554242,Edwin Moscoso
2026-05-06,824198,664263,Edwin Jimenez
2026-05-06,824282,485856,Jonathan Parra
2026-05-06,824361,428442,James Hoye
2026-05-06,824683,665297,Tom Hanahan
2026-05-06,825091,483630,John Tumpane
2026-05-07,822741,608158,Nate Tomlinson
2026-05-07,823306,605673,Alex Tosi
2026-05-07,823467,427315,Alfonso Márquez
2026-05-07,823551,665576,Brock Ballou
2026-05-07,823870,691042,Willie Traynor
2026-05-07,824117,544728,Nic Lentz
2026-05-07,824362,503493,Sean Barber
2026-05-07,824681,482608,Scott Barry
2026-05-07,824767,658325,Tyler Jones
2026-05-07,825090,639723,Brennan Miller
2026-05-08,822822,482631,Mike Estabrook
2026-05-08,822904,623949,Clint Vondrak
2026-05-08,823225,484499,Manny Gonzalez
2026-05-08,823303,484183,Cory Blaser
2026-05-08,823466,483569,Vic Carapazza
2026-05-08,823794,484198,Alan Porter
2026-05-08,823871,605671,Charlie Ramos
2026-05-08,823957,482620,Chris Conroy
2026-05-08,824116,665298,Dexter Kelley
2026-05-08,824443,594151,Ramon De Jesus
2026-05-08,824522,605672,Jeremie Rehak
2026-05-08,824607,483564,Dan Bellino
2026-05-08,824768,676580,Steven Jaschinski
2026-05-08,824846,427129,Bruce Dreckman
2026-05-08,825088,605674,Ryan Wills
2026-05-09,822820,623946,Malachi Moore
2026-05-09,822905,428442,James Hoye
2026-05-09,823224,658082,Jacob Metz
2026-05-09,823304,596740,Jansen Visconti
2026-05-09,823468,545402,John Bacon
2026-05-09,823792,577468,Roberto Ortiz
2026-05-09,823869,676581,James Jean
2026-05-09,823955,521251,Ben May
2026-05-09,824115,573597,Gabe Morales
2026-05-09,824444,607884,Paul Clemons
2026-05-09,824523,482663,David Rackley
2026-05-09,824606,483919,Mark Ripperger
2026-05-09,824847,658536,Austin Jones
2026-05-09,825089,427013,Lance Barksdale
2026-05-10,822819,483561,Lance Barrett
2026-05-10,822902,503077,Adam Hamari
2026-05-10,823221,665297,Tom Hanahan
2026-05-10,823305,427164,Andy Fletcher
2026-05-10,823463,554242,Edwin Moscoso
2026-05-10,823793,623945,Alex MacKay
2026-05-10,823868,427197,Chris Guccione
2026-05-10,823954,483630,John Tumpane
2026-05-10,824113,621660,Emil Jimenez
2026-05-10,824440,511890,Quinn Wolcott
2026-05-10,824520,644760,Adam Beck
2026-05-10,824605,575629,Shane Livensparger
2026-05-10,824765,596805,John Libka
2026-05-10,824845,547380,Carlos Torres
2026-05-10,825085,504381,Will Little
2026-05-11,822818,427366,Brian O'Nora
2026-05-11,822901,605673,Alex Tosi
2026-05-11,823953,503502,Ryan Blakney
2026-05-11,824199,665302,Dillon Wilson
2026-05-11,824441,485856,Jonathan Parra
2026-05-11,824844,544728,Nic Lentz
2026-05-12,822817,503490,Chris Segal
2026-05-12,822903,484183,Cory Blaser
2026-05-12,823385,665576,Brock Ballou
2026-05-12,823632,521889,Stu Scheurwater
2026-05-12,823712,482608,Scott Barry
2026-05-12,823790,596809,Ryan Additon
2026-05-12,823951,665281,Brian Walsh
2026-05-12,824197,427554,Jim Wolf
2026-05-12,824442,605672,Jeremie Rehak
2026-05-12,824521,483912,Mike Muchlinski
2026-05-12,824604,482620,Chris Conroy
2026-05-12,824764,605670,Dan Merzel
2026-05-12,824843,427537,Hunter Wendelstedt
2026-05-12,824927,658325,Tyler Jones
2026-05-12,825011,431232,Chad Fairchild
2026-05-13,822815,623938,Erich Bacchus
2026-05-13,822900,596740,Jansen Visconti
2026-05-13,823386,594151,Ramon De Jesus
2026-05-13,823631,608093,Junior Valentine
2026-05-13,823710,484499,Manny Gonzalez
2026-05-13,823791,605674,Ryan Wills
2026-05-13,823952,676581,James Jean
2026-05-13,824195,577468,Roberto Ortiz
2026-05-13,824438,427248,Dan Iassogna
2026-05-13,824519,665298,Dexter Kelley
2026-05-13,824603,668921,Jen Pawol
2026-05-13,824763,483564,Dan Bellino
2026-05-13,824841,554242,Edwin Moscoso
2026-05-13,824928,503493,Sean Barber
2026-05-13,825010,489985,Chad Whitson
2026-05-14,823383,607884,Paul Clemons
2026-05-14,823630,490319,Jordan Baker
2026-05-14,823709,665297,Tom Hanahan
2026-05-14,823789,427013,Lance Barksdale
2026-05-14,823950,427243,Marvin Hudson
2026-05-14,824196,691042,Willie Traynor
2026-05-14,824517,427139,Doug Eddings
2026-05-14,824602,521251,Ben May
